student_id,Introduction to Computer Science,Structured Programming,Structured Programming Lab,Calculus 1,Calculus 2,Discrete Mathematics,Statistical Methods,Linear Algebra,Object Oriented Programming,Object Oriented Programming Lab,Data Structures and Introduction to Algorithms,Algorithms Design and Analysis,Database Systems,Database Systems Lab,Operating Systems,Operating Systems Lab,Distributed Systems,Computer and Society,Information Systems Security,Introduction to Data Science,Introduction to Data Science Lab,Data Engineering,Data Engineering Lab,Statistics and Probability for Data Science,Artificial Intelligence,Computer Architecture for Machine Learning,Natural Language Processing,High Performance Computing for Big Data,Data Visualization,Pattern Recognition,Data Mining,Business Intelligence
20210126,88,54,75.0,40,52,46.0,67.0,73.0,57.0,71.0,65,79.0,97.0,,68.0,,,,,85.0,,54.0,,43,94.0,69.0,71.0,,,,,
20210127,49,63,58.0,48,46,88.0,96.0,51.0,99.0,48.0,88,47.0,79.0,87.0,45.0,41.0,97.0,76.0,43.0,,,,,40,66.0,42.0,46.0,,,,,
20210128,58,84,99.0,47,75,57.0,51.0,95.0,94.0,61.0,97,99.0,90.0,99.0,58.0,42.0,,48.0,,86.0,65.0,82.0,,92,69.0,91.0,86.0,76.0,,79.0,,
20210129,74,55,,75,91,69.0,46.0,,41.0,,83,89.0,67.0,,49.0,,,85.0,,43.0,46.0,98.0,,60,93.0,76.0,81.0,72.0,97.0,,,
20210130,60,93,,97,77,,82.0,,65.0,,83,,,,55.0,84.0,,60.0,45.0,,,,,56,,72.0,,,,,,
20210131,81,44,90.0,55,75,,,,,,92,92.0,97.0,45.0,84.0,,97.0,,,,,,,99,,,,,,,,
20210132,79,55,81.0,54,71,88.0,72.0,60.0,84.0,56.0,84,52.0,46.0,61.0,94.0,60.0,,82.0,,94.0,44.0,,,76,82.0,68.0,83.0,,,47.0,96.0,
20210133,45,41,69.0,52,70,40.0,,56.0,51.0,,63,68.0,85.0,,79.0,,68.0,88.0,95.0,,,,,48,51.0,64.0,46.0,,,,,
20210134,91,45,80.0,67,70,79.0,92.0,,88.0,97.0,99,60.0,,,94.0,,51.0,93.0,,,,,,70,68.0,,,,,,,
20210135,76,73,,69,84,,92.0,,,,72,54.0,67.0,,51.0,,,42.0,,,,,,68,,70.0,,,,,,
20210136,80,45,80.0,42,73,93.0,84.0,54.0,72.0,69.0,82,61.0,78.0,96.0,87.0,95.0,,67.0,,,,,,60,79.0,61.0,,,,,,
20210137,61,64,67.0,82,90,61.0,41.0,,69.0,,83,55.0,,,,,,,,,,,,75,73.0,,,,,,,
20210138,89,74,79.0,94,65,92.0,100.0,93.0,57.0,74.0,40,72.0,87.0,,59.0,,,75.0,,,,,,71,76.0,82.0,,,,51.0,,
20210139,42,94,58.0,93,79,61.0,54.0,71.0,42.0,,88,52.0,66.0,86.0,,,,,,,,,,41,41.0,,,,,,,
20210140,68,59,89.0,68,99,100.0,73.0,85.0,87.0,51.0,98,90.0,63.0,89.0,84.0,87.0,73.0,91.0,,51.0,80.0,,,95,56.0,56.0,,,70.0,91.0,,
20210141,69,89,86.0,67,54,61.0,62.0,89.0,57.0,,40,91.0,41.0,,51.0,80.0,89.0,64.0,,72.0,55.0,,,97,65.0,98.0,,,,,50.0,49.0
20210142,89,89,,81,78,,94.0,71.0,,,80,,48.0,,,,,69.0,,47.0,,,,44,,95.0,,,,,98.0,
20210143,64,95,91.0,64,75,89.0,80.0,,64.0,60.0,59,90.0,,,,,,50.0,,65.0,,,,45,98.0,63.0,,,94.0,,87.0,
20210144,76,79,40.0,46,79,80.0,54.0,66.0,80.0,67.0,97,78.0,56.0,66.0,,,,,,,,,,44,,79.0,,,,95.0,,
20210145,84,95,79.0,77,57,64.0,,65.0,,,68,44.0,46.0,,69.0,98.0,,88.0,,,,,,63,95.0,,55.0,,,,,
20210146,95,71,64.0,89,68,66.0,91.0,81.0,50.0,88.0,59,69.0,45.0,73.0,65.0,84.0,,76.0,,,,,,66,48.0,78.0,,,,43.0,,
20210147,45,94,68.0,78,58,59.0,46.0,57.0,98.0,50.0,49,74.0,76.0,47.0,62.0,54.0,,85.0,,52.0,41.0,,,54,51.0,42.0,,,,,97.0,
20210148,82,52,95.0,50,47,,98.0,43.0,70.0,62.0,61,72.0,59.0,,,,,98.0,,77.0,63.0,,,47,57.0,87.0,91.0,,,77.0,,
20210149,81,62,45.0,61,49,41.0,97.0,56.0,83.0,52.0,53,93.0,97.0,,55.0,80.0,,80.0,,57.0,81.0,90.0,,82,51.0,44.0,,51.0,,,,
20210150,99,74,87.0,98,62,49.0,84.0,,79.0,,93,86.0,62.0,,,,,,,,,,,88,68.0,72.0,,,,,,
20210151,49,98,43.0,77,53,77.0,97.0,58.0,,,90,59.0,63.0,56.0,46.0,95.0,100.0,76.0,100.0,,,,,88,47.0,69.0,92.0,,,,,
20210152,69,64,83.0,66,43,,46.0,50.0,76.0,,56,69.0,100.0,,75.0,61.0,87.0,94.0,45.0,,,,,85,90.0,57.0,43.0,,,68.0,,
20210153,90,75,80.0,66,74,,71.0,97.0,89.0,,52,70.0,90.0,52.0,94.0,43.0,58.0,49.0,63.0,79.0,,,,95,83.0,92.0,43.0,,84.0,,,
20210154,95,88,86.0,42,63,98.0,,48.0,43.0,,73,99.0,82.0,,70.0,67.0,80.0,87.0,,,,,,48,81.0,,,,,,,
20210155,64,46,97.0,42,52,52.0,86.0,59.0,52.0,,44,60.0,84.0,,80.0,64.0,58.0,80.0,,46.0,58.0,,,77,41.0,,82.0,,,77.0,,
20210156,88,55,,68,66,81.0,,,92.0,97.0,67,60.0,40.0,,77.0,,57.0,64.0,,,,,,49,41.0,46.0,46.0,,,,,
20210157,51,98,42.0,41,55,44.0,55.0,66.0,49.0,,56,85.0,72.0,61.0,68.0,95.0,,42.0,,,,,,52,65.0,85.0,,,,61.0,,
20210158,64,50,86.0,42,45,69.0,63.0,90.0,57.0,88.0,100,59.0,41.0,,84.0,,,,,76.0,,,,82,98.0,99.0,,,,87.0,45.0,
20210159,68,64,80.0,63,60,45.0,76.0,,,,55,98.0,100.0,67.0,68.0,,,,,94.0,,,,79,68.0,75.0,,,,,,
20210160,74,71,70.0,65,63,69.0,80.0,97.0,85.0,54.0,76,51.0,79.0,46.0,55.0,61.0,,76.0,,41.0,81.0,90.0,,96,44.0,65.0,,,,,,
20210161,69,47,49.0,60,42,69.0,,96.0,,,78,67.0,100.0,,78.0,,,87.0,,,,,,59,,82.0,,,,,,
20210162,85,48,,89,60,46.0,88.0,,55.0,,56,47.0,,,89.0,71.0,,,,60.0,95.0,,,60,73.0,,,,54.0,,,
20210163,58,46,92.0,75,84,69.0,60.0,93.0,72.0,,53,96.0,68.0,79.0,50.0,46.0,100.0,86.0,44.0,,,,,57,97.0,74.0,,,,,,
20210164,74,81,78.0,51,91,67.0,80.0,46.0,42.0,,72,61.0,72.0,92.0,80.0,78.0,96.0,54.0,51.0,91.0,40.0,,,81,95.0,58.0,,,,,,
20210165,90,81,88.0,99,91,43.0,,79.0,67.0,40.0,93,51.0,41.0,,76.0,,,83.0,,,,,,44,75.0,62.0,45.0,,,,,
20210166,95,67,83.0,51,77,58.0,58.0,74.0,74.0,44.0,74,75.0,41.0,60.0,46.0,52.0,,89.0,,71.0,44.0,,,58,88.0,49.0,,,54.0,,71.0,67.0
20210167,65,74,,71,84,,96.0,51.0,,,67,90.0,67.0,,60.0,,,,,50.0,,,,85,,74.0,,,,,,
20210168,97,92,41.0,48,47,62.0,46.0,48.0,48.0,77.0,82,64.0,42.0,99.0,43.0,89.0,,76.0,,,,,,66,64.0,47.0,,,,,,
20210169,75,82,88.0,88,61,64.0,59.0,,46.0,53.0,98,,,,,,,95.0,,,,,,67,57.0,54.0,,,,,,
20210170,88,82,74.0,45,46,82.0,70.0,53.0,97.0,,90,65.0,83.0,46.0,78.0,68.0,,92.0,,,,,,65,60.0,83.0,,,,92.0,,
20210171,87,96,67.0,50,66,77.0,89.0,67.0,49.0,60.0,99,70.0,92.0,80.0,59.0,,46.0,,,71.0,,45.0,,62,65.0,44.0,,,70.0,,,
20210172,91,52,52.0,50,69,46.0,47.0,57.0,,,56,58.0,56.0,72.0,92.0,59.0,,87.0,,79.0,,,,92,93.0,67.0,,,,,,
20210173,60,83,92.0,56,87,71.0,51.0,42.0,70.0,80.0,88,88.0,77.0,87.0,62.0,71.0,,55.0,86.0,,,,,52,67.0,69.0,87.0,,,,,
20210174,68,45,40.0,59,62,83.0,42.0,62.0,60.0,,68,97.0,46.0,,97.0,,,54.0,53.0,,,,,65,47.0,59.0,,,,,,
20210175,56,63,42.0,56,46,96.0,84.0,98.0,82.0,41.0,70,55.0,41.0,42.0,89.0,84.0,59.0,64.0,,,,,,50,83.0,97.0,,,,67.0,,
20210176,45,91,,77,45,,69.0,,,,84,85.0,,,65.0,,,70.0,73.0,,,,,89,47.0,,,,,,,
20210177,51,45,83.0,57,63,,43.0,,,,40,,57.0,,64.0,,72.0,71.0,,72.0,,,,48,48.0,42.0,47.0,,,,,
20210178,91,95,62.0,92,50,,78.0,,85.0,46.0,82,,81.0,,98.0,72.0,,58.0,47.0,,,,,72,47.0,95.0,,,,,,
20210179,85,74,98.0,93,63,43.0,68.0,64.0,,,100,,,,96.0,,,46.0,,,,,,84,,51.0,,,,,,
20210180,82,63,62.0,60,45,47.0,72.0,44.0,63.0,,85,54.0,,,78.0,,,,,96.0,,,,43,67.0,45.0,98.0,,,,,
20210181,61,43,44.0,72,89,,57.0,51.0,,,84,86.0,63.0,,95.0,,,,,,,,,66,,64.0,,,,96.0,,
20210182,64,96,97.0,41,48,61.0,40.0,58.0,80.0,53.0,40,52.0,45.0,43.0,53.0,68.0,,87.0,,,,,,61,56.0,67.0,,,,71.0,,
20210183,85,99,42.0,84,86,97.0,69.0,99.0,64.0,,86,69.0,81.0,,86.0,97.0,,88.0,,,,,,91,99.0,95.0,,,,,,
20210184,86,87,90.0,62,61,83.0,67.0,62.0,65.0,60.0,58,61.0,76.0,57.0,69.0,51.0,97.0,54.0,,,,,,92,85.0,96.0,88.0,,,,,
20210185,58,49,73.0,82,90,,91.0,71.0,,,50,,92.0,89.0,97.0,92.0,,52.0,,,,,,69,,53.0,,,,,,
20210186,72,48,99.0,97,68,45.0,67.0,41.0,40.0,71.0,64,61.0,61.0,79.0,92.0,,,47.0,,86.0,,,,94,56.0,88.0,,,,47.0,,
20210187,65,75,82.0,60,96,56.0,59.0,95.0,90.0,100.0,79,95.0,96.0,53.0,86.0,67.0,41.0,95.0,74.0,,,,,48,75.0,54.0,,,,,,
20210188,92,92,66.0,58,52,93.0,98.0,,,,74,93.0,,,,,,,,89.0,,,,92,45.0,,,,,,,
20210189,94,54,88.0,68,96,94.0,,87.0,,,78,,,,100.0,59.0,,99.0,,,,,,88,90.0,,,,,,,
20210190,92,84,76.0,75,46,84.0,53.0,100.0,78.0,71.0,40,69.0,,,87.0,96.0,,88.0,,79.0,,,,71,,60.0,,,,67.0,,
20210191,54,90,56.0,98,58,,,94.0,82.0,85.0,53,73.0,65.0,,,,,77.0,,,,,,74,,,,,,,,
20210192,91,63,,69,83,46.0,81.0,81.0,,,85,60.0,62.0,,88.0,,,88.0,,,,,,59,,,,,,68.0,,
20210193,100,83,72.0,91,83,46.0,47.0,97.0,40.0,88.0,69,88.0,78.0,60.0,59.0,,72.0,46.0,40.0,78.0,70.0,,,56,57.0,44.0,,,,,,
20210194,49,67,40.0,76,58,60.0,43.0,100.0,59.0,,50,61.0,69.0,,57.0,,,69.0,75.0,79.0,90.0,,,91,42.0,44.0,,,56.0,,98.0,
20210195,73,52,95.0,77,53,66.0,87.0,84.0,75.0,,41,65.0,43.0,,63.0,76.0,,77.0,44.0,86.0,,90.0,,78,49.0,64.0,68.0,71.0,53.0,85.0,52.0,
20210196,55,99,,63,52,62.0,44.0,,75.0,,87,87.0,45.0,,92.0,,,55.0,,,,,,47,,99.0,,,,,,
20210197,54,70,,51,70,,,,68.0,,68,82.0,94.0,,77.0,43.0,60.0,41.0,,,,,,65,,87.0,,,,,,
20210198,65,66,60.0,93,74,,66.0,55.0,99.0,90.0,53,88.0,46.0,82.0,,,,73.0,,,,,,66,100.0,,,,,,,
20210199,67,75,42.0,53,67,97.0,80.0,54.0,76.0,88.0,46,54.0,98.0,92.0,60.0,,,44.0,,66.0,,,,45,56.0,87.0,83.0,,,68.0,,
20210200,41,60,55.0,56,87,47.0,83.0,59.0,51.0,88.0,44,86.0,55.0,90.0,40.0,91.0,61.0,74.0,44.0,,,,,56,53.0,47.0,,,,50.0,,
20210201,57,47,63.0,92,78,,88.0,,,,73,69.0,47.0,,72.0,87.0,56.0,88.0,51.0,56.0,,,,59,61.0,99.0,,,,,,
20210202,75,78,50.0,99,78,77.0,70.0,64.0,83.0,64.0,89,95.0,,,76.0,,71.0,57.0,,,,,,50,51.0,98.0,96.0,,,,,
20210203,60,93,,84,57,91.0,100.0,,85.0,45.0,41,40.0,72.0,81.0,70.0,,,80.0,,71.0,97.0,61.0,,89,69.0,,,88.0,,,42.0,
20210204,94,57,96.0,48,61,71.0,93.0,47.0,100.0,,49,,56.0,,,,,91.0,,,,,,44,,87.0,,,,,,
20210205,85,55,92.0,55,51,43.0,68.0,,87.0,54.0,82,76.0,69.0,,82.0,,,61.0,,64.0,,,,64,40.0,,93.0,,,,,
20210206,68,93,49.0,97,77,,99.0,,75.0,79.0,90,,44.0,,,,,,,,,,,67,84.0,100.0,49.0,,,,,
20210207,77,42,,72,55,,98.0,90.0,56.0,,63,,59.0,,59.0,,,85.0,,,,,,97,,94.0,,,,41.0,,
20210208,55,98,,68,57,,67.0,,71.0,,67,64.0,,,97.0,,43.0,99.0,,51.0,60.0,,,49,63.0,,94.0,,,,,
20210209,42,55,44.0,92,90,,49.0,76.0,54.0,,82,,77.0,,77.0,,85.0,43.0,96.0,100.0,,89.0,,91,76.0,81.0,,99.0,,,,
20210210,93,61,,43,96,99.0,65.0,86.0,,,99,98.0,41.0,,,,,,,56.0,,,,50,90.0,,67.0,,,,,
20210211,50,44,,79,77,92.0,74.0,75.0,98.0,,42,42.0,42.0,,46.0,45.0,,62.0,43.0,41.0,76.0,94.0,,82,100.0,48.0,,,,,,
20210212,97,45,90.0,68,93,98.0,88.0,97.0,75.0,47.0,83,76.0,73.0,84.0,71.0,,,75.0,95.0,75.0,90.0,96.0,,89,97.0,,68.0,98.0,,,85.0,
20210213,58,83,41.0,77,58,72.0,91.0,92.0,84.0,91.0,59,97.0,89.0,63.0,57.0,71.0,,58.0,,,,,,79,79.0,50.0,,,,,,
20210214,62,68,44.0,65,72,75.0,95.0,68.0,54.0,,72,56.0,61.0,,65.0,,77.0,80.0,70.0,41.0,74.0,80.0,,90,43.0,98.0,,,56.0,98.0,49.0,
20210215,88,40,,56,91,,45.0,62.0,81.0,53.0,98,43.0,,,98.0,43.0,72.0,87.0,,,,,,63,96.0,,,,,,,
20210216,51,75,86.0,92,43,,49.0,44.0,74.0,79.0,99,46.0,94.0,93.0,97.0,81.0,,92.0,,48.0,,,,94,94.0,49.0,67.0,,,,98.0,
20210217,79,94,40.0,56,44,58.0,90.0,89.0,70.0,100.0,52,87.0,82.0,,,,,40.0,,,,,,65,69.0,53.0,,,,,,
20210218,45,50,52.0,93,52,57.0,79.0,78.0,100.0,69.0,67,95.0,88.0,83.0,72.0,50.0,93.0,49.0,58.0,,,,,90,58.0,59.0,59.0,,,60.0,,
20210219,93,96,42.0,48,46,53.0,44.0,,46.0,,44,75.0,97.0,71.0,95.0,45.0,57.0,90.0,64.0,,,,,93,90.0,73.0,,,,,,
20210220,100,73,48.0,43,88,,59.0,53.0,66.0,79.0,69,95.0,,,99.0,,93.0,,100.0,48.0,,,,48,60.0,90.0,,,,,100.0,
20210221,68,72,63.0,88,84,97.0,75.0,98.0,,,44,,69.0,,,,,98.0,,,,,,91,,79.0,,,,,,
20210222,74,54,85.0,62,67,,43.0,,,,63,,,,40.0,,,59.0,,74.0,,,,51,55.0,86.0,,,,,,
20210223,71,76,,58,89,,43.0,95.0,44.0,,55,,57.0,,,,,99.0,,,,,,57,,60.0,,,,72.0,,
20210224,62,82,54.0,83,81,51.0,41.0,80.0,66.0,76.0,81,67.0,55.0,63.0,49.0,,,95.0,,,,,,45,96.0,72.0,95.0,,,,,
20210225,87,65,,84,58,73.0,,68.0,52.0,,87,42.0,,,90.0,,45.0,46.0,95.0,,,,,98,82.0,95.0,91.0,,,,,
20210226,61,49,67.0,48,76,69.0,,,76.0,75.0,67,87.0,91.0,96.0,49.0,,,86.0,,,,,,61,,,,,,,,
20210227,44,62,53.0,78,92,55.0,69.0,,40.0,,53,89.0,90.0,,68.0,,,89.0,,72.0,,,,95,73.0,50.0,,,,,88.0,
20210228,95,69,53.0,64,62,42.0,,97.0,,,49,91.0,,,42.0,,55.0,42.0,,,,,,63,,,,,,,,
20210229,62,61,66.0,96,63,62.0,96.0,48.0,71.0,47.0,67,60.0,90.0,90.0,68.0,41.0,,55.0,,,,,,93,43.0,71.0,,,,61.0,,
20210230,42,84,,85,41,,78.0,73.0,79.0,80.0,56,63.0,97.0,,,,,,,,,,,63,70.0,51.0,,,,49.0,,
20210231,51,86,97.0,81,59,,42.0,94.0,,,93,72.0,,,80.0,,71.0,79.0,,,,,,100,,54.0,,,,,,
20210232,76,76,84.0,72,80,55.0,96.0,77.0,58.0,74.0,89,57.0,89.0,80.0,85.0,,,100.0,82.0,63.0,,,,90,70.0,60.0,,,,99.0,,
20210233,73,65,85.0,81,76,62.0,46.0,48.0,55.0,76.0,73,,78.0,,54.0,98.0,,84.0,67.0,,,,,94,41.0,62.0,,,,91.0,,
20210234,91,50,56.0,45,89,40.0,82.0,67.0,67.0,,99,53.0,95.0,75.0,94.0,,,99.0,,,,,,98,95.0,,,,,,,
20210235,74,83,74.0,97,90,89.0,87.0,75.0,51.0,,50,88.0,40.0,,63.0,,,42.0,42.0,71.0,,95.0,,74,,60.0,,46.0,,,,
20210236,89,45,,55,93,63.0,63.0,,64.0,79.0,85,76.0,62.0,,,,,56.0,,60.0,,43.0,,80,54.0,50.0,,45.0,,,,
20210237,97,49,,83,84,93.0,98.0,52.0,49.0,,54,97.0,,,82.0,91.0,,45.0,,,,,,78,80.0,,,,,89.0,,
20210238,79,86,49.0,50,58,96.0,54.0,96.0,78.0,77.0,74,54.0,61.0,90.0,97.0,90.0,,42.0,,,,,,98,91.0,63.0,,,,48.0,,
20210239,98,75,60.0,42,94,,,51.0,,,68,89.0,,,48.0,,,,,,,,,53,99.0,93.0,,,,,,
20210240,69,81,,44,42,57.0,,45.0,56.0,,100,63.0,70.0,,67.0,,,,92.0,,,,,99,,,,,,,,
20210241,88,43,40.0,42,51,93.0,56.0,99.0,77.0,67.0,74,50.0,59.0,59.0,50.0,,84.0,56.0,100.0,,,,,63,82.0,79.0,62.0,,,70.0,,
20210242,41,65,45.0,92,92,85.0,67.0,63.0,,,64,,,,83.0,85.0,82.0,69.0,,73.0,,,,85,73.0,,,,,,,
20210243,53,72,69.0,40,92,60.0,63.0,71.0,60.0,44.0,47,65.0,,,69.0,,,68.0,64.0,72.0,50.0,,,86,60.0,,53.0,,,,,
20210244,75,47,46.0,52,51,45.0,54.0,68.0,98.0,60.0,93,64.0,62.0,,99.0,42.0,49.0,69.0,94.0,70.0,,,,72,62.0,60.0,75.0,,60.0,40.0,,
20210245,41,44,42.0,75,84,46.0,57.0,79.0,,,41,,,,97.0,,,46.0,,,,,,95,98.0,,,,,,,
20210246,62,64,64.0,95,96,96.0,56.0,74.0,88.0,65.0,62,45.0,52.0,,98.0,,,79.0,50.0,,,,,51,82.0,97.0,,,,,,
20210247,63,57,,62,62,56.0,63.0,90.0,,,65,,69.0,45.0,59.0,60.0,55.0,56.0,40.0,,,,,60,45.0,40.0,99.0,,,,,
20210248,47,80,75.0,65,73,58.0,90.0,48.0,,,99,87.0,59.0,,46.0,97.0,,42.0,82.0,,,,,85,,43.0,,,,,,
20210249,52,50,87.0,91,76,62.0,69.0,81.0,81.0,61.0,42,87.0,67.0,,71.0,,,90.0,,,,,,77,92.0,65.0,,,,,,
20210250,67,45,71.0,57,99,70.0,47.0,53.0,47.0,60.0,64,58.0,54.0,88.0,63.0,69.0,,84.0,,97.0,54.0,,,62,91.0,91.0,,,54.0,,,
20210251,90,75,95.0,65,64,47.0,89.0,79.0,63.0,67.0,48,72.0,57.0,64.0,68.0,91.0,,44.0,63.0,,,,,77,72.0,65.0,87.0,,,60.0,,
20210252,48,47,,53,42,,,75.0,,,44,60.0,66.0,58.0,56.0,,48.0,,,,,,,65,67.0,96.0,,,,,,
20210253,56,70,52.0,98,49,78.0,80.0,89.0,71.0,59.0,79,57.0,51.0,81.0,79.0,56.0,89.0,75.0,90.0,,,,,67,99.0,79.0,65.0,,,,,
20210254,64,62,90.0,66,77,46.0,97.0,90.0,57.0,,70,63.0,98.0,60.0,59.0,,,,,,,,,60,59.0,41.0,,,,97.0,,
20210255,78,86,43.0,40,60,92.0,55.0,97.0,,,95,96.0,62.0,98.0,93.0,,54.0,,42.0,,,,,70,,,,,,46.0,,
20210256,98,81,100.0,90,53,70.0,97.0,63.0,77.0,94.0,67,91.0,100.0,60.0,91.0,72.0,,91.0,,59.0,85.0,,,49,78.0,53.0,61.0,,,,,
20210257,53,53,72.0,90,97,62.0,45.0,72.0,55.0,44.0,63,71.0,99.0,61.0,81.0,91.0,,80.0,,,,,,98,48.0,59.0,,,,69.0,,
20210258,40,92,,54,98,46.0,63.0,87.0,48.0,,90,,,,59.0,,,,,,,,,51,45.0,72.0,,,,,,
20210259,85,79,99.0,80,41,89.0,69.0,,,,79,41.0,79.0,,76.0,,63.0,98.0,,,,,,57,46.0,99.0,,,,,,
20210260,100,47,,47,53,92.0,,91.0,54.0,75.0,59,,79.0,57.0,,,,44.0,,,,,,76,,,,,,,,
20210261,95,82,45.0,90,62,49.0,74.0,50.0,68.0,62.0,59,75.0,79.0,89.0,84.0,48.0,,68.0,75.0,,,,,87,79.0,87.0,,,,51.0,,
20210262,91,90,85.0,86,64,,67.0,,,,61,89.0,88.0,,78.0,,,,48.0,,,,,91,79.0,,,,,,,
20210263,88,96,44.0,64,67,41.0,46.0,50.0,44.0,,53,,92.0,,,,,98.0,,,,,,55,96.0,54.0,44.0,,,87.0,,
20210264,91,85,91.0,89,100,55.0,72.0,97.0,96.0,,90,75.0,,,,,,,,,,,,76,83.0,,,,,,,
20210265,74,95,46.0,93,47,97.0,,56.0,72.0,56.0,90,,77.0,76.0,60.0,78.0,,100.0,94.0,,,,,58,50.0,,90.0,,,74.0,,
20210266,62,67,50.0,91,74,47.0,75.0,,83.0,,51,77.0,66.0,80.0,91.0,,,69.0,,46.0,,,,40,58.0,,,,,,,
20210267,78,65,77.0,85,70,55.0,80.0,76.0,67.0,,79,43.0,94.0,,,,,,,,,,,52,,63.0,,,,93.0,,
20210268,91,83,52.0,84,76,86.0,54.0,98.0,90.0,68.0,83,77.0,45.0,70.0,46.0,,80.0,97.0,100.0,40.0,59.0,42.0,,52,,43.0,,51.0,91.0,,,
20210269,70,67,55.0,66,77,61.0,97.0,,93.0,,68,,76.0,93.0,83.0,,,42.0,61.0,,,,,50,90.0,89.0,,,,,,
20210270,61,82,97.0,55,99,60.0,93.0,82.0,73.0,58.0,81,56.0,89.0,69.0,78.0,83.0,,73.0,,,,,,44,89.0,71.0,,,,,,
20210271,46,40,,50,43,59.0,70.0,80.0,81.0,,58,80.0,71.0,,98.0,,89.0,46.0,73.0,87.0,,96.0,,54,53.0,60.0,55.0,,,,88.0,
20210272,49,78,46.0,95,48,53.0,57.0,69.0,50.0,90.0,91,45.0,,,,,,,,58.0,,,,85,84.0,57.0,,,,,100.0,
20210273,52,100,100.0,100,52,,60.0,41.0,,,46,,,,55.0,44.0,,43.0,,,,,,59,53.0,46.0,74.0,,,,,
20210274,50,96,,83,56,91.0,88.0,60.0,72.0,,48,72.0,54.0,,,,,,,,,,,100,94.0,94.0,,,,,,
20210275,79,83,83.0,84,98,,86.0,89.0,68.0,68.0,51,66.0,91.0,,45.0,48.0,56.0,90.0,41.0,84.0,,,,93,96.0,42.0,59.0,,,94.0,,
20210276,65,80,59.0,62,50,40.0,93.0,82.0,63.0,,81,71.0,99.0,94.0,67.0,50.0,43.0,73.0,66.0,,,,,76,63.0,66.0,93.0,,,40.0,,
20210277,86,69,56.0,64,52,72.0,53.0,47.0,72.0,85.0,76,82.0,99.0,77.0,77.0,73.0,,92.0,70.0,,,,,84,93.0,58.0,56.0,,,43.0,,
20210278,56,80,87.0,46,93,40.0,87.0,73.0,98.0,79.0,97,99.0,48.0,67.0,98.0,57.0,46.0,53.0,81.0,,,,,66,72.0,68.0,,,,,,
20210279,71,85,55.0,74,48,95.0,69.0,72.0,83.0,68.0,79,74.0,91.0,51.0,89.0,77.0,42.0,91.0,60.0,,,,,81,46.0,47.0,,,,,,
20210280,93,69,50.0,81,65,,,56.0,86.0,,91,78.0,,,41.0,,84.0,,,,,,,45,97.0,,,,,,,
20210281,72,88,41.0,47,44,40.0,90.0,98.0,56.0,63.0,71,67.0,77.0,47.0,99.0,43.0,73.0,46.0,,67.0,48.0,,,58,56.0,43.0,,,,,,
20210282,98,67,83.0,80,60,90.0,,,57.0,53.0,54,93.0,,,50.0,,,95.0,77.0,,,,,45,68.0,82.0,48.0,,,,,
20210283,71,49,65.0,45,95,87.0,,73.0,40.0,77.0,53,55.0,73.0,73.0,56.0,42.0,,82.0,66.0,,,,,45,66.0,52.0,72.0,,,77.0,,
20210284,52,99,50.0,67,49,56.0,55.0,78.0,96.0,90.0,77,46.0,74.0,,76.0,71.0,,,,,,,,44,85.0,47.0,,,,46.0,,
20210285,47,75,62.0,59,93,82.0,82.0,85.0,100.0,74.0,79,60.0,,,,,,59.0,,,,,,55,81.0,58.0,,,,55.0,,
20210286,57,49,92.0,83,68,90.0,,49.0,80.0,,69,,70.0,98.0,,,,40.0,,,,,,99,45.0,76.0,,,,,,
20210287,92,93,58.0,73,50,,61.0,90.0,,,98,79.0,43.0,49.0,54.0,,47.0,43.0,,,,,,40,46.0,44.0,77.0,,,,,
20210288,65,90,81.0,67,47,51.0,51.0,67.0,41.0,,78,,90.0,,88.0,98.0,55.0,57.0,,89.0,,,,48,65.0,74.0,,,,,88.0,
20210289,55,41,83.0,87,58,,57.0,62.0,,,55,74.0,71.0,100.0,,,,94.0,,,,,,99,,,,,,,,
20210290,65,83,,81,78,,95.0,96.0,40.0,,54,97.0,53.0,,55.0,71.0,46.0,,96.0,65.0,,,,50,61.0,83.0,,,,,,
20210291,98,57,79.0,89,69,54.0,,,53.0,,100,41.0,,,68.0,,58.0,,,,,,,87,76.0,45.0,,,,,,
20210292,48,50,84.0,53,89,95.0,90.0,52.0,68.0,73.0,95,82.0,64.0,,44.0,,,48.0,,,,,,99,60.0,45.0,83.0,,,,,
20210293,78,100,62.0,49,47,93.0,52.0,55.0,87.0,60.0,47,79.0,44.0,68.0,77.0,58.0,,89.0,,,,,,91,100.0,78.0,82.0,,,79.0,,
20210294,47,59,81.0,53,48,85.0,95.0,100.0,,,69,59.0,80.0,,92.0,50.0,68.0,57.0,89.0,54.0,,,,42,79.0,67.0,,,,,,
20210295,60,89,80.0,45,100,55.0,88.0,96.0,95.0,94.0,88,98.0,62.0,67.0,93.0,72.0,43.0,50.0,84.0,,,,,43,79.0,47.0,56.0,,,80.0,,
20210296,72,58,49.0,64,76,46.0,64.0,,,,50,91.0,42.0,91.0,42.0,53.0,83.0,42.0,,,,,,97,64.0,,,,,,,
20210297,53,55,,70,89,51.0,,55.0,,,90,77.0,,,93.0,,86.0,,81.0,,,,,43,,,,,,,,
20210298,62,89,49.0,79,87,44.0,60.0,86.0,68.0,,41,59.0,41.0,,52.0,,,,88.0,,,,,64,84.0,63.0,,,,,,
